Name;Muscle Group;Detailed Muscle Group;Other Muscle Groups;Type;Mechanics;Equipment;;
90/90 Hamstring Stretch;Upper Legs;Hamstrings;null;Stretching;N/A;Body Only;Beginner;Steps : 1.) To begin this exercise: start off lying flat on your back with one leg extended out and with your other leg bend it and grab the knee with your hands. 2.) Take the leg that is being bent and extend it straight into the air and hold onto the position for up to 15 seconds and then alternate legs. 3.) Repeat this exercise for as many repetitions as needed
Ab Draw Leg Slide;Abs;null;null;Strength;Isolation;Body Only;Intermediate;Steps : 1.) Start by laying on your back with your knees bent at 90-degrees keeping your arms at your sides, palms up. 2.) Maintaining slight pressure on your hands, extend your legs slowly forward so that you feel a stretch and a contraction in your abdominals. 3.) Return back to the starting position and repeat for as many reps and sets desired.
Ab Roll;Abs;null;Shoulders;Strength;Isolation;Body Only;Beginner;"Steps : 1.) Start by sitting on the floor with your knees bent, feet planted firmly on the floor and your hands at your sides behind your knees. 2.) Once in position rock backwards off of your pelvis towards the floor, keep your hands underneath your knees forming a ""C"" shape with your spine. 3.) Make sure that you keep your feet planted firmly on the floor throughout the entire motion. 4.) Squeeze with your abdominals and hold for a few seconds, then return back to the starting position. 5.) Repeat for as many reps and sets as desired."
Abdominal Hip Roll;Abs;null;null;Strength;Isolation;Body Only;Beginner;"Steps : 1.) Start by laying down on your back flat on the floor keeping your arms straight out and wide to your sides and feet extended out in front of you in a ""T"" position. 2.) Slowly raise your knees up until they are at thigh level and create a 90-degree angle to the floor, then begin by twist at your hips and lowering your knees towards the floor in a pendulum motion. 3.) Don't pause when you reach the bottom, instantly return back to the starting position and repeat in the opposite direction. 4.) Repeat for as many reps and sets as desired."
Abdominal Pendulum;Abs;null;null;Strength;Isolation;Body Only;Beginner;"Steps : 1.) Begin by laying with your back flat on the floor, your legs together extended out in front of you and your hands placed out to your sides so that you are in a ""T"" position. 2.) Slowly lift your legs up and over your body so that you are creating a right angle to the floor, then twisting only at your hips, lower your feet slowly to the floor to your right without losing any control. 3.) As soon as you feel a stretch in your obliques, return to the starting position and repeat on the opposite side. 4.) Repeat for as many reps and sets as desired."
Aerobics;Cardio;null;null;Cardio;Isolation;Others;Beginner;Aerobic Exercise focuses upon cardiovascular fitness, muscle strength and endurance by performing aerobic workouts.
Air Bike;Abs;Obliques;null;Strength;Compound;Body Only;Beginner;Steps : 1.) Start off lying flat as if you were going to perform a sit up putting your hands behind your your head and lifting your shoulders into a crunch position. 2.) Bring your knees up so that they are perpendicular with the floor and your lower legs are parallel with the ground as this will be your starting position. 3.) Slowly go through a cycle pedal motion kicking forward with your right leg and bringing in the knee of the left leg. 4.) Next bring your right elbow close to your left knee by crunching to the side. 5.) Return back to the starting position as you breathe in then crunch to the opposite side as you cycle your legs and bring your left elbow close to your right knee. 6.) Repeat with each side for as many reps and sets as desired. Tips : 1.) Reduce the speed of the exercise for more intensity and better results.
All Fours Quad Stretch;Upper Legs;Hamstrings;null;Stretching;N/A;Body Only;Intermediate;Steps : 1.) To begin this exercise: start off in a kneeling pushing position and lift your right leg off of the floor and hold onto it with your right hand. 2.) With your hand hold onto your ankle and stretch out your upper legs holding on for 15 to 30 seconds, then alternate. 3.) Repeat this exercise for as many repetitions as needed
Alternating Arm Cobra;Abs;null;Back;Strength;Isolation;Body Only;Beginner;Steps : 1.) Start off by laying face down on the floor in a prone position with your arms at your sides. 2.) Squeeze your glutes and lift your chest off of the floor with your arms alternately touching the floor from side to side while keeping your arms straight. 3.) Repeat for as many reps and sets desired.
Alternating Diagonal Leg Bound;Upper Legs;Hamstrings;Lower Legs;Strength;Compound;Body Only;Beginner;Steps : 1.) Start in a stance at an end of a room with one foot in front of the other. 2.) Push off with your front leg with as much force as possible, driving your opposite knee up and forward, landing with your front foot. 3.) Then repeat with the opposite leg and push with as much force as possible cover as much distance as you can. 4.) Repeat for as many reps and sets as you desire.
90/90 Hamstring Stretch;Upper Legs;Hamstrings;null;Stretching;N/A;Body Only;Beginner;Steps : 1.) To begin this exercise: start off lying flat on your back with one leg extended out and with your other leg bend it and grab the knee with your hands. 2.) Take the leg that is being bent and extend it straight into the air and hold onto the position for up to 15 seconds and then alternate legs. 3.) Repeat this exercise for as many repetitions as needed
Ab Draw Leg Slide;Abs;null;null;Strength;Isolation;Body Only;Intermediate;Steps : 1.) Start by laying on your back with your knees bent at 90-degrees keeping your arms at your sides, palms up. 2.) Maintaining slight pressure on your hands, extend your legs slowly forward so that you feel a stretch and a contraction in your abdominals. 3.) Return back to the starting position and repeat for as many reps and sets desired.
